id;size;rank;Rdiag
0;1753;1753;
1;1630;1630;
2;2729;2729;
3;2086;2086;
4;1354;1354;
5;1357;1357;
6;1672;1672;
7;2213;2213;
8;1433;1433;
9;2041;2041;
10;1905;1905;
11;1860;1860;
12;1550;1550;
13;1945;1945;
14;1548;1548;
15;1727;1727;
16;2436;2436;
17;2361;2361;
18;1249;1249;
19;2073;2073;
20;2642;2642;
21;2769;2769;
22;1649;1649;
23;1648;1648;
24;1011;1011;
25;1376;1376;
26;2336;2336;
27;1263;1263;
28;1667;1667;
29;2406;2406;
30;1322;1322;
31;1664;1664;
32;201;41;
33;270;58;
34;245;60;
35;336;54;
36;285;53;
37;219;35;
38;262;37;
39;271;57;
40;320;52;
41;210;31;
42;249;46;
43;152;76;
44;194;25;
45;234;35;
46;228;34;
47;183;71;
48;3;3;
49;29;26;
50;150;71;
51;9;9;
52;9;9;
53;3;3;
54;9;9;
55;3;3;
56;142;89;
57;12;12;
58;152;56;
59;3;3;
60;12;12;
61;3;3;
62;13;13;
63;138;63;
64;143;88;
65;9;9;
66;9;9;
67;12;12;
68;141;81;
69;5;5;
70;7;7;
71;177;46;
72;7;7;
73;18;18;
74;139;55;
75;54;32;
76;18;18;
77;129;44;
78;1;1;
79;1;1;
80;18;18;
81;9;9;
82;242;46;
83;5;5;
84;7;7;
85;231;41;
86;6;6;
87;6;6;
88;7;7;
89;12;12;
90;230;52;
91;124;37;
92;25;25;
93;108;30;
94;63;40;
95;21;21;
96;168;32;
97;80;16;
98;30;30;
99;226;51;
100;72;45;
101;24;24;
102;27;27;
103;1;1;
104;168;56;
105;82;30;
106;39;39;
107;9;9;
108;100;18;
109;132;29;
110;30;30;
111;18;18;
112;15;15;
113;9;9;
114;15;15;
115;4;4;
116;15;12;
117;21;20;
118;12;12;
119;3;3;
120;21;21;
121;3;3;
122;78;64;
123;6;6;
124;36;31;
125;6;6;
126;12;12;
127;30;30;
128;18;18;
129;3;3;
130;51;21;
131;69;31;
132;9;9;
133;6;6;
134;114;32;
135;12;12;
136;45;32;
137;21;21;
138;12;12;
139;105;29;
140;114;37;
141;9;9;
142;9;9;
143;9;9;
144;6;4;
145;9;9;
146;69;30;
147;9;9;
148;168;26;
149;9;9;
150;3;3;
151;4;4;
152;107;19;
153;4;4;
154;6;6;
155;9;9;
156;3;3;
157;179;37;
158;80;46;
159;25;25;
160;171;33;
161;25;25;
162;102;44;
163;49;18;
164;129;33;
165;21;21;
166;15;15;
167;76;24;
168;14;14;
169;7;7;
170;27;27;
171;13;13;
172;3;3;
173;12;12;
174;305;50;
175;7;7;
176;3;3;
177;11;6;
178;237;58;
179;33;33;
180;15;15;
181;18;18;
182;7;7;
183;6;6;
184;287;42;
185;259;40;
186;24;24;
187;24;24;
188;1;1;
189;12;12;
190;300;16;
191;177;25;
192;30;30;
193;30;30;
194;138;25;
195;114;16;
196;12;12;
197;9;9;
198;15;15;
199;27;19;
200;15;12;
201;3;3;
202;3;3;
203;3;3;
204;27;27;
205;15;15;
206;3;3;
207;3;3;
208;3;3;
209;21;21;
210;27;27;
211;3;3;
212;3;3;
213;3;3;
214;30;8;
215;12;12;
216;3;3;
217;30;30;
218;6;6;
219;3;3;
220;3;3;
221;3;3;
222;12;12;
223;3;3;
224;54;20;
225;3;3;
226;189;22;
227;150;20;
228;60;12;
229;21;21;
230;21;21;
231;9;9;
232;24;17;
233;33;26;
234;6;6;
235;27;27;
236;15;15;
237;3;3;
