id;size;rank;Rdiag
107;150;52;94828.5 92680.1 92013.9 -89651.7 82211.2 -77673.7 -75895.3 -73040.9 -71250.6 -62756.5 53087.2 42110.8 32672 -29897.2 -21473.4 20921.8 -20615.2 -19167.8 15667.5 -15496.5 14267.3 10967.6 -10662 9963.06 8415.85 -8332.45 7391.76 6824.43 6516.33 6458.03 -6364.51 6241.27 -5974.77 -5711.53 5448.97 4496.41 -4407.14 4222.78 -4137.55 -4111.07 2525 2262.9 -2215.24 -1622.38 -1531.24 1454.99 1375.47 1250.88 1142.1 1053.26 -1044.18 1032.38 -796.793 786.166 761.904 -649.31 -617.296 600.917 -542.201 -535.701 509.246 456.328 -448.398 -442.804 -433.974 -433.575 424.572 399.17 -397.574 -368.878 -337.657 325.033 -299.116 273.69 255.102 -232.497 -214.363 214.228 -195.268 -176.253 -157.582 -139.112 103.385 -95.5418 -95.0945 92.7038 -75.3448 -58.2503 -56.3662 55.6559 53.5963 52.8109 -45.7176 -42.1883 -37.9587 -33.5544 -30.4262 -25.9511 21.5952 19.5557 -19.1503 -18.7288 14.5895 -14.1515 13.5529 11.7036 9.71921 9.45507 -6.19638 -6.02656 -5.14504 4.94902 -4.37645 3.85152 3.57841 -3.07698 2.49028 2.4848 -2.35386 -1.81767 -1.59795 -1.32569 1.28715 -1.17376 1.0945 -0.996538 -0.924711 0.816021 0.692339 -0.593413 0.559247 0.542112 -0.53123 0.504582 -0.469055 -0.430651 -0.380871 0.360441 0.320293 0.303373 -0.26576 0.26171 -0.231804 0.216399 0.19861 0.193939 -0.175677 -0.162478 0.130781 0.0906702 
108;60;19;944033 -455961 453396 -138933 -136520 76699.9 -73926.5 -73917.8 -72611.6 -72564.6 -70088.5 -65107.4 -36757 33144.5 30543 29347.1 20697.2 16043.5 -11846.4 7392.21 -5811.08 -1748.75 -1562.56 1358.38 -1335.2 -1260 1227.29 -1097.66 -1076.75 936.658 -848.78 718.262 684.605 670.026 -627.581 624.263 573.44 545.198 537.029 514.55 503.054 404.051 396.799 -322.249 317.695 301.926 247.063 -236.068 -223.709 205.35 196.289 -169.346 123.068 96.4343 87.5463 78.8088 -59.6728 -25.7624 12.7923 1.24641 
109;131;50;-121500 -106430 92141.3 -87772.7 85503.5 -81525.6 81290.9 -76722.2 -75813 -69863.7 -69173.4 -65132.4 -64582.5 63702.3 -52560.2 -47526 46037.6 -46030.9 37188.7 -35263.9 -32262.7 -28673.6 27690.8 -24678.1 -20725.2 20194.9 20131.9 -12287.9 11760.7 -10985.1 10806.5 -8880.06 7714.36 7082.35 4992.24 4430.44 4420.02 3984.21 3333.29 -3310.84 2952.31 2864.45 -2568.62 -2552.05 -2532.06 2153.4 1522.15 1436.45 1402.42 -1315.02 1117.97 917.986 -740.668 -654.455 -624.065 -562.525 556.588 547.327 -464.094 397.977 390.936 368.157 -347.956 -330.952 284.326 -226.994 187.78 162.371 92.3864 83.0227 78.0915 66.1871 -57.7574 48.6431 46.6097 -35.6305 -30.3356 26.0116 25.096 -20.7095 18.3471 15.9701 -15.6858 10.5296 -8.10532 -7.95166 -7.83602 -6.88302 6.67747 5.55906 5.29601 -4.26267 -4.11764 2.93105 -2.41279 -2.24451 1.69601 1.61876 -1.47453 1.13851 -1.03579 -1.02145 0.897637 0.7694 0.658939 0.615299 0.492504 -0.427146 0.42446 0.384178 0.349358 0.335846 0.328961 -0.272845 -0.258202 0.223056 0.207639 0.198026 0.194483 0.169214 -0.166838 0.148645 0.143139 0.121578 -0.113484 -0.108596 -0.107677 0.106437 0.101471 -0.0526398 -0.0399531 
110;27;27;
111;108;31;-54995.3 -53891.6 40644.6 36087.4 28162.4 -28073.2 -27879.1 -27840.3 20378.5 20324.8 -18725.3 18601.6 -1413.4 1400.58 -1135 1127.65 1119.63 -1097 1079.35 -874.697 -861.916 -826.076 638.943 628.184 -590.462 587.075 -569.732 -567.148 -552.85 -551.476 -551.354 539.421 -511.59 494.383 -465.872 452.495 441.775 -440.824 422.253 -400.703 350.65 -340.747 324.563 323.634 -313.75 307.439 305.258 298.024 290.956 -281.682 -226.207 199.577 -185.137 170.51 -150.014 125.972 -123.456 104.756 79.7659 62.0534 -57.5344 56.2797 50.1577 -48.8634 -34.7612 -26.7928 14.5394 12.0529 10.3221 9.60988 9.21295 8.53313 8.39201 8.04426 -4.08264 1.96224 1.82909 -1.42 -0.895837 0.822783 -0.704553 0.476449 0.456964 0.27379 0.220257 0.169477 0.15772 0.113629 0.0852196 -0.0610614 0.0540052 0.0466547 -0.0305482 -0.0232875 0.0160688 -0.0132523 -0.0115106 -0.0108197 -0.00600625 0.00516696 0.00452682 -0.00412447 -0.00362461 -0.00298509 -0.00241071 0.00167642 0.000907964 0.00046985 
112;15;15;
113;130;53;30403 27219.7 -19684 14121.8 -13983.1 -12097 -12094.2 7957.22 7486.15 1887.78 -1785.81 1777.89 -1725.08 -1693 -1679.83 1654.26 -1566.52 1489.38 -1418.88 -1322.06 -1295.55 -1216.93 -1150.45 1086.35 1033.92 983.338 924.098 912.196 -787.785 -755.502 -729.355 -683.085 627.434 -618.818 604.931 -599.412 598.761 579.254 576.875 -532.336 -481.182 -473.026 456.76 449.792 -445.777 -404.5 390.528 382.652 -369.056 361.743 -341.689 326.71 -325.626 -300.632 -296.26 282.472 279.27 268.982 -239.968 -233.137 -230.245 212.84 198.095 197.882 -162.16 -155.065 -138.339 -132.994 -123.622 -111.687 -101.231 -91.8357 79.4423 73.6393 -61.7061 -57.1096 56.4514 53.826 50.4421 49.7265 -45.7051 -38.2315 -37.3101 -31.4196 -28.9413 -26.6966 -25.2199 -25.1211 24.6867 21.7336 -20.3474 17.34 -16.2758 14.8804 -14.2642 -12.8812 -12.0904 11.4743 10.5886 9.99502 -8.41886 7.06744 5.98458 -5.49544 -5.36643 -4.88002 -4.30389 -3.7241 -3.02612 -2.62926 -2.37259 -2.3391 -1.59471 -1.50352 -1.43402 -1.40468 1.40272 -1.05296 0.991901 -0.88042 -0.843208 -0.834209 0.785333 0.761073 0.753306 -0.654809 -0.531334 -0.495552 -0.444213 -0.412411 
114;12;12;
115;84;20;92025.2 57909.4 -36554.6 13775.8 9094.07 -8307.15 6281.15 4893.93 -4134.27 -2853.81 2069.72 -1630.77 1458.6 1351.35 -1226.73 1089.89 1082.32 -1040.48 -979.977 -977.28 831.342 -820.745 -795.831 -745.201 731.563 659.965 599.365 -566.569 -556.095 -552.858 528.631 -473.298 -434.96 -433.571 423.708 -402.067 -388.913 359.124 345.635 294.037 -270.035 -268.884 247.721 -230.635 216.418 215.193 162.871 147.509 -127.576 -107.05 79.6599 74.9916 -71.6082 -71.4215 55.217 -50.8349 -48.4442 -46.746 -41.987 -38.0163 33.1472 -23.591 23.2026 18.9941 -16.2854 16.0965 -15.4262 10.257 -9.73957 -7.56286 7.25641 5.17402 -4.75445 -4.42496 3.9317 3.69892 3.03209 2.91532 1.80869 -1.63755 -1.10913 0.771508 -0.733934 0.152841 
116;12;12;
