x,y,z,id
0,0,0,20
0,0,0,23
0,0,0,25
131.335,-112.72,-0.1477,20
131.335,-112.72,-0.1477,13
131.335,-112.72,-0.1477,25
111.236,62.8,0.6759,25
111.236,62.8,0.6759,25
111.236,62.8,0.6759,25
247.638,22.78,-2.2144,28
247.638,22.78,-2.2144,10
247.638,22.78,-2.2144,25
-1219.19,1206.77,6.4224,28
-1219.19,1206.77,6.4224,28
-1219.19,1206.77,6.4224,28
-1386.32,1189.87,5.1671,26
-1386.32,1189.87,5.1671,29
-1386.32,1189.87,5.1671,28
-1254.98,1077.14,18.7414,20
-1254.98,1077.14,18.7414,10
-1254.98,1077.14,18.7414,28
-1270.01,1325.37,3.9325,20
-1270.01,1325.37,3.9325,10
-1270.01,1325.37,3.9325,28
1881.56,4813.74,2.5824,13
1881.56,4813.74,2.5824,13
1881.56,4813.74,2.5824,13
1870.15,4984,2.9338,20
1870.15,4984,2.9338,7
1870.15,4984,2.9338,13
1753.85,4848.49,4.2439,21
1753.85,4848.49,4.2439,20
1753.85,4848.49,4.2439,13
2002.92,4870.04,1.6074,20
2002.92,4870.04,1.6074,20
2002.92,4870.04,1.6074,13
3219.47,3664.85,-1.8249,7
3219.47,3664.85,-1.8249,7
3219.47,3664.85,-1.8249,7
3387.8,3681.41,-3.6782,4
3387.8,3681.41,-3.6782,13
3387.8,3681.41,-3.6782,7
3255.03,3795.36,-1.241,23
3255.03,3795.36,-1.241,20
3255.03,3795.36,-1.241,7
3271.5,3545.9,0.4486,23
3271.5,3545.9,0.4486,23
3271.5,3545.9,0.4486,7
-465.112,661.01,1.1463,24
-465.112,661.01,1.1463,24
-465.112,661.01,1.1463,24
-517.932,665.75,1.7793,24
-517.932,665.75,1.7793,24
-517.932,665.75,1.7793,24
-476.427,614.93,2.4999,24
-476.427,614.93,2.4999,24
-476.427,614.93,2.4999,24
-485.6,703.45,-0.3634,130
-485.6,703.45,-0.3634,130
-485.6,703.45,-0.3634,130
-1091.55,1136.94,13.7221,28
-1091.55,1136.94,13.7221,28
-1091.55,1136.94,13.7221,28
-1123.65,964.42,16.5179,31
-1123.65,964.42,16.5179,31
-1123.65,964.42,16.5179,28
3088.15,3731.93,-0.182,7
3088.15,3731.93,-0.182,7
3088.15,3731.93,-0.182,7
3122.26,3909.32,-2.8716,20
