id,x,y,z
188,2718.683,4157.39,0.2597
189,2729.479,4246.44,-1.1018
190,2729.479,4246.44,-1.1018
191,2729.479,4246.44,-1.1018
192,2657.351,4221.22,1.8859
193,2657.351,4221.22,1.8859
194,2657.351,4221.22,1.8859
195,2674.157,4293.93,0.0078
196,2674.157,4293.93,0.0078
197,2674.157,4293.93,0.0078
198,2586.235,4280.24,-0.0009
199,2586.235,4280.24,-0.0009
200,2586.235,4280.24,-0.0009
201,2602.24,4355.65,-1.7852
202,2602.24,4355.65,-1.7852
203,2602.24,4355.65,-1.7852
204,-627.981,619.91,3.5395
205,-627.981,619.91,3.5395
206,-627.981,619.91,3.5395
207,-625.666,537.01,5.1051
208,-625.666,537.01,5.1051
209,-625.666,537.01,5.1051
210,-980.547,1422.86,14.8861
211,-980.547,1422.86,14.8861
212,-980.547,1422.86,14.8861
213,-1037.409,1596.38,5.4608
214,-1037.409,1596.38,5.4608
215,-1037.409,1596.38,5.4608
216,1581.42,4409.24,4.2973
217,1581.42,4409.24,4.2973
218,1581.42,4409.24,4.2973
219,1404.943,4441.98,2.4694
220,1404.943,4441.98,2.4694
221,1404.943,4441.98,2.4694
222,2209.53,4516.26,-1.4971
223,2209.53,4516.26,-1.4971
224,2209.53,4516.26,-1.4971
225,2371.734,4553.49,-0.4979
226,2371.734,4553.49,-0.4979
227,2371.734,4553.49,-0.4979
228,2320.883,4451.1,-0.5026
229,2320.883,4451.1,-0.5026
230,2320.883,4451.1,-0.5026
231,2458.404,4479.1,-0.0485
232,2458.404,4479.1,-0.0485
233,2458.404,4479.1,-0.0485
234,2418.83,4392.29,-2.1389
235,2418.83,4392.29,-2.1389
236,2418.83,4392.29,-2.1389
237,2530.322,4417.38,-3.9147
238,2530.322,4417.38,-3.9147
239,2530.322,4417.38,-3.9147
240,2981.465,3441.6,-1.6555
241,2981.465,3441.6,-1.6555
242,2981.465,3441.6,-1.6555
243,3038.897,3274.89,-3.9317
244,3038.897,3274.89,-3.9317
245,3038.897,3274.89,-3.9317
246,-867.939,1561.39,12.9446
247,-867.939,1561.39,12.9446
248,-867.939,1561.39,12.9446
249,-921.106,1731.89,9.7995
250,-921.106,1731.89,9.7995
251,-921.106,1731.89,9.7995
252,1461.411,4274.22,5.3411
253,1461.411,4274.22,5.3411
254,1461.411,4274.22,5.3411
255,1288.64,4306.47,0.8245
256,1288.64,4306.47,0.8245
257,1288.64,4306.47,0.8245
258,1342.894,4138.99,3.4579
259,1342.894,4138.99,3.4579
260,1342.894,4138.99,3.4579
261,1172.338,4170.97,-3.4507
262,1172.338,4170.97,-3.4507
263,1172.338,4170.97,-3.4507
264,1225.0,4003.28,-5.6393
265,1225.0,4003.28,-5.6393
266,1225.0,4003.28,-5.6393
267,1056.035,4035.46,-1.5487
268,1056.035,4035.46,-1.5487
269,1056.035,4035.46,-1.5487
270,1108.522,3866.41,11.5791
271,1108.522,3866.41,11.5791
272,1108.522,3866.41,11.5791
273,939.733,3899.96,2.2188
274,939.733,3899.96,2.2188
275,939.733,3899.96,2.2188
276,993.561,3730.15,0.7165
277,993.561,3730.15,0.7165
278,993.561,3730.15,0.7165
279,823.43,3764.45,-2.2813
280,823.43,3764.45,-2.2813
281,823.43,3764.45,-2.2813
282,878.048,3595.17,-2.3147
283,878.048,3595.17,-2.3147
284,878.048,3595.17,-2.3147
285,707.128,3628.95,3.2287
286,707.128,3628.95,3.2287
287,707.128,3628.95,3.2287
288,761.306,3460.4,0.8215
289,761.306,3460.4,0.8215
290,761.306,3460.4,0.8215
291,590.826,3493.45,3.8444
292,590.826,3493.45,3.8444
293,590.826,3493.45,3.8444
294,644.546,3324.67,1.4276
295,644.546,3324.67,1.4276
296,644.546,3324.67,1.4276
297,474.523,3357.94,-6.2933
298,474.523,3357.94,-6.2933
299,474.523,3357.94,-6.2933
300,528.861,3188.47,5.1367
301,528.861,3188.47,5.1367
302,528.861,3188.47,5.1367
303,358.221,3222.44,2.6246
304,358.221,3222.44,2.6246
305,358.221,3222.44,2.6246
306,413.013,3053.4,1.7778
307,413.013,3053.4,1.7778
308,413.013,3053.4,1.7778
309,241.918,3086.93,-0.0342
310,241.918,3086.93,-0.0342
311,241.918,3086.93,-0.0342
312,295.837,2918.77,3.9456
313,295.837,2918.77,3.9456
314,295.837,2918.77,3.9456
315,125.616,2951.43,4.6289
316,125.616,2951.43,4.6289
317,125.616,2951.43,4.6289
318,178.319,2783.47,2.2052
319,178.319,2783.47,2.2052
320,178.319,2783.47,2.2052
321,9.313,2815.92,0.2865
322,9.313,2815.92,0.2865
323,9.313,2815.92,0.2865
324,61.825,2646.81,-4.0262
325,61.825,2646.81,-4.0262
326,61.825,2646.81,-4.0262
327,-106.989,2680.42,1.4218
328,-106.989,2680.42,1.4218
329,-106.989,2680.42,1.4218
330,-53.203,2510.38,0.9063
331,-53.203,2510.38,0.9063
332,-53.203,2510.38,0.9063
333,-223.292,2544.91,1.8586
334,-223.292,2544.91,1.8586
335,-223.292,2544.91,1.8586
336,-168.643,2375.35,0.8616
337,-168.643,2375.35,0.8616
338,-168.643,2375.35,0.8616
339,-339.594,2409.41,4.1501
340,-339.594,2409.41,4.1501
341,-339.594,2409.41,4.1501
342,-285.619,2240.87,1.9054
343,-285.619,2240.87,1.9054
344,-285.619,2240.87,1.9054
345,-455.897,2273.9,-0.4113
346,-455.897,2273.9,-0.4113
347,-455.897,2273.9,-0.4113
348,-403.114,2105.38,2.0919
349,-403.114,2105.38,2.0919
350,-403.114,2105.38,2.0919
351,-572.199,2138.4,-0.7178
352,-572.199,2138.4,-0.7178
353,-572.199,2138.4,-0.7178
354,-518.887,1968.67,1.1571
355,-518.887,1968.67,1.1571
356,-518.887,1968.67,1.1571
357,-688.501,2002.89,1.0881
358,-688.501,2002.89,1.0881
359,-688.501,2002.89,1.0881
360,-634.178,1833.45,16.7288
361,-634.178,1833.45,16.7288
362,-634.178,1833.45,16.7288
363,-804.804,1867.39,4.4831
364,-804.804,1867.39,4.4831
365,-804.804,1867.39,4.4831
366,-751.319,1698.63,19.325
367,-751.319,1698.63,19.325
368,-751.319,1698.63,19.325
369,2865.704,3308.5,0.0676
370,2865.704,3308.5,0.0676
371,2865.704,3308.5,0.0676
372,2922.594,3139.39,-0.1339
