id;size;rank;Rdiag
0;54;54;
1;26;26;
2;58;58;
3;96;96;
4;30;30;
5;13;13;
6;8;8;
7;9;9;
8;126;126;
9;104;104;
10;129;129;
11;67;67;
12;51;51;
13;36;36;
14;60;60;
15;123;123;
16;84;84;
17;19;19;
18;48;48;
19;159;159;
20;168;168;
21;81;81;
22;78;78;
23;21;21;
24;12;12;
25;43;43;
26;61;61;
27;42;42;
28;19;19;
29;54;54;
30;23;23;
31;32;32;
32;77;77;
33;100;100;
34;132;132;
35;123;123;
36;69;69;
37;81;81;
38;39;39;
39;18;18;
40;163;163;
41;78;78;
42;160;160;
43;302;302;
44;131;131;
45;42;42;
46;64;64;
47;138;138;
48;52;52;
49;14;14;
50;74;74;
51;82;82;
52;58;58;
53;57;57;
54;59;59;
55;178;178;
56;38;38;
57;66;66;
58;58;58;
59;103;103;
60;100;100;
61;61;61;
62;66;66;
63;81;81;
64;96;96;
65;19;19;
66;38;38;
67;68;68;
68;72;72;
69;81;81;
70;65;65;
71;36;36;
72;41;41;
73;41;41;
74;20;20;
75;62;62;
76;20;20;
77;44;44;
78;49;49;
79;58;58;
80;96;96;
81;61;61;
82;15;15;
83;58;58;
84;64;64;
85;31;31;
86;25;25;
87;57;57;
88;54;54;
89;62;62;
90;44;44;
91;54;54;
92;24;24;
93;48;48;
94;42;42;
95;13;13;
96;39;39;
97;65;65;
98;158;158;
99;67;67;
100;131;131;
101;93;93;
102;41;41;
103;85;85;
104;13;13;
105;39;39;
106;25;25;
107;39;39;
108;27;27;
109;72;72;
110;24;24;
111;17;17;
112;76;76;
113;23;23;
114;42;42;
115;40;40;
116;36;36;
117;107;107;
118;72;72;
119;72;72;
120;107;107;
121;87;87;
122;46;46;
123;87;87;
124;194;194;
125;213;213;
126;130;130;
127;103;103;
128;37;37;
129;17;17;
130;105;105;
131;49;49;
132;50;50;
133;92;92;
134;23;23;
135;30;30;
136;76;76;
137;22;22;
138;66;66;
139;31;31;
140;80;80;
141;23;23;
142;24;24;
143;75;75;
144;69;69;
145;40;40;
146;76;76;
147;72;72;
148;69;69;
149;189;189;
150;214;214;
151;72;72;
152;122;122;
153;39;39;
154;66;66;
155;12;12;
156;28;28;
157;67;67;
158;45;45;
159;16;16;
160;51;51;
161;92;92;
162;121;121;
163;65;65;
164;128;128;
165;179;179;
166;90;90;
167;66;66;
168;18;18;
169;91;91;
170;36;36;
171;88;88;
172;67;67;
173;66;66;
174;48;48;
175;47;47;
176;36;36;
177;42;42;
178;77;77;
179;35;35;
180;85;85;
181;81;81;
182;76;76;
183;81;81;
184;53;53;
185;106;106;
186;60;60;
187;111;111;
188;57;57;
189;91;91;
190;61;61;
191;82;82;
192;57;57;
193;98;98;
194;21;21;
195;84;84;
196;87;87;
197;36;36;
198;138;138;
199;46;46;
200;74;74;
201;28;28;
202;11;11;
203;20;20;
204;45;45;
205;25;25;
206;55;55;
207;29;29;
208;42;42;
209;52;52;
210;136;136;
211;85;85;
212;119;119;
213;66;66;
214;61;61;
215;9;9;
216;52;52;
217;35;35;
218;116;116;
219;84;84;
220;25;25;
221;82;82;
222;95;95;
223;97;97;
224;39;39;
225;80;80;
226;44;44;
227;44;44;
228;26;26;
229;22;22;
230;51;51;
231;87;87;
232;117;117;
233;148;148;
234;60;60;
235;49;49;
236;45;45;
237;37;37;
238;8;8;
239;39;39;
240;156;156;
241;87;87;
242;56;56;
243;45;45;
244;56;56;
245;50;50;
246;38;38;
247;68;68;
248;57;57;
249;77;77;
250;63;63;
251;10;10;
252;71;71;
253;30;30;
254;96;96;
255;41;41;
256;136;136;
257;157;157;
258;54;54;
259;63;63;
260;133;133;
261;81;81;
262;144;144;
263;153;153;
264;122;122;
265;62;62;
266;129;129;
267;57;57;
268;30;30;
269;69;69;
270;36;36;
271;36;36;
272;34;34;
273;63;63;
274;115;115;
275;58;58;
276;72;72;
277;128;128;
278;51;51;
279;119;119;
280;138;138;
281;87;87;
282;98;98;
283;48;48;
284;75;75;
285;98;98;
286;171;171;
287;165;165;
288;77;77;
289;62;62;
290;40;40;
291;53;53;
292;44;44;
293;41;41;
294;47;47;
295;66;66;
296;64;64;
297;28;28;
298;33;33;
299;42;42;
300;92;92;
301;92;92;
302;92;92;
303;92;92;
304;48;48;
305;72;72;
306;89;89;
307;106;106;
308;66;66;
309;31;31;
310;77;77;
311;97;97;
312;90;90;
313;185;185;
314;85;85;
315;51;51;
316;93;93;
317;76;76;
318;108;108;
319;91;91;
320;274;274;
321;105;105;
322;72;72;
323;182;182;
324;82;82;
325;170;170;
326;93;93;
327;85;85;
328;79;79;
329;68;68;
330;145;145;
331;151;151;
332;44;44;
333;33;33;
334;65;65;
335;111;111;
336;127;127;
337;114;114;
338;110;110;
339;59;59;
340;66;66;
341;37;37;
342;118;118;
343;115;115;
344;90;90;
345;46;46;
346;46;46;
347;132;132;
348;154;154;
349;190;190;
350;94;94;
351;257;257;
352;43;43;
353;26;26;
354;71;71;
355;25;25;
356;92;92;
357;168;168;
358;83;83;
359;90;90;
360;87;87;
361;46;46;
362;41;41;
363;90;90;
364;37;37;
365;55;55;
366;88;88;
367;88;88;
368;46;46;
369;44;44;
370;41;41;
371;101;101;
372;37;37;
373;122;122;
374;56;56;
375;112;112;
376;90;90;
377;48;48;
378;91;91;
379;79;79;
380;74;74;
381;25;25;
382;62;62;
383;20;20;
384;47;47;
385;31;31;
386;33;33;
387;36;36;
388;42;42;
389;37;37;
390;29;29;
391;33;33;
392;72;72;
393;72;72;
394;72;72;
395;72;72;
396;72;72;
397;72;72;
398;72;72;
399;72;72;
400;79;79;
401;56;56;
402;13;13;
403;13;13;
404;109;109;
405;47;47;
406;30;30;
407;59;59;
408;63;63;
409;45;45;
410;82;82;
411;47;47;
412;32;32;
413;46;46;
414;36;36;
415;59;59;
416;207;207;
417;58;58;
418;67;67;
419;129;129;
420;42;42;
421;155;155;
422;34;34;
423;37;37;
424;72;72;
425;95;95;
426;115;115;
427;120;120;
428;80;80;
429;97;97;
430;125;125;
431;77;77;
432;18;18;
433;8;8;
434;22;22;
435;30;30;
436;22;22;
437;66;66;
438;17;17;
439;45;45;
440;63;63;
441;58;58;
442;40;40;
443;22;22;
444;76;76;
445;67;67;
446;57;57;
447;132;132;
448;76;76;
449;84;84;
450;74;74;
451;60;60;
452;72;72;
453;139;139;
454;40;40;
455;97;97;
456;29;29;
457;17;17;
458;43;43;
459;62;62;
460;97;97;
461;50;50;
462;54;54;
463;80;80;
464;95;95;
465;20;20;
466;67;67;
467;200;200;
468;188;188;
469;107;107;
470;94;94;
471;60;60;
472;74;74;
473;69;69;
474;97;97;
475;96;96;
476;79;79;
477;110;110;
478;92;92;
479;43;43;
480;33;33;
481;57;57;
482;48;48;
483;39;39;
484;59;59;
485;85;85;
486;53;53;
487;72;72;
488;79;79;
489;80;80;
490;80;80;
491;82;82;
492;80;80;
493;80;80;
494;79;79;
495;82;82;
496;104;104;
497;104;104;
498;104;104;
499;104;104;
500;104;104;
501;104;104;
502;104;104;
503;104;104;
504;104;104;
505;104;104;
506;104;104;
507;104;104;
508;104;104;
509;104;104;
510;104;104;
511;104;104;
512;18;18;
513;36;30;
514;18;18;
515;9;9;
516;48;36;
517;45;45;
518;18;18;
519;42;28;
520;21;21;
521;45;40;
522;78;35;
523;24;24;
524;12;12;
525;24;9;
526;30;24;
527;12;12;
528;33;18;
529;57;46;
530;42;28;
531;15;9;
532;38;38;
533;78;61;
534;30;30;
535;42;32;
536;24;24;
537;33;28;
538;27;25;
539;57;33;
540;39;35;
541;45;45;
542;39;27;
543;45;45;
544;30;22;
545;15;15;
546;33;33;
547;18;18;
548;20;20;
549;25;25;
550;20;20;
551;25;25;
552;40;37;
553;18;18;
554;27;27;
555;27;27;
556;21;21;
557;28;26;
558;30;30;
559;9;9;
560;9;9;
561;42;34;
562;49;40;
563;18;9;
564;15;15;
565;24;24;
566;42;42;
567;6;6;
568;25;25;
569;20;18;
570;17;16;
571;36;34;
572;25;9;
573;30;24;
574;84;32;
575;36;36;
576;18;18;
577;33;33;
578;30;28;
579;9;9;
580;33;30;
581;24;24;
582;24;21;
583;30;30;
584;26;26;
585;18;18;
586;51;36;
587;72;62;
588;36;28;
589;33;32;
590;24;21;
591;29;29;
592;32;31;
593;30;13;
594;66;56;
595;33;32;
596;18;18;
597;33;33;
598;24;22;
599;9;9;
600;21;21;
601;36;34;
602;30;28;
603;45;36;
604;24;15;
605;36;36;
606;36;32;
607;39;32;
608;30;29;
609;36;23;
610;27;25;
611;26;25;
612;17;17;
613;15;14;
614;24;24;
615;60;40;
616;54;34;
617;18;18;
618;12;9;
619;35;33;
620;23;23;
