id;size;rank;Rdiag
0;225;225;
1;150;150;
2;270;270;
3;180;180;
4;150;150;
5;150;150;
6;225;225;
7;150;150;
8;216;216;
9;324;324;
10;180;180;
11;270;270;
12;180;180;
13;180;180;
14;270;270;
15;180;180;
16;225;225;
17;150;150;
18;30;30;
19;150;150;
20;30;30;
21;150;150;
22;180;180;
23;270;270;
24;30;30;
25;150;150;
26;45;45;
27;225;225;
28;324;324;
29;216;216;
30;36;36;
31;180;180;
32;54;54;
33;270;270;
34;270;270;
35;180;180;
36;45;45;
37;225;225;
38;30;30;
39;150;150;
40;36;36;
41;180;180;
42;54;54;
43;270;270;
44;30;30;
45;150;150;
46;45;45;
47;225;225;
48;216;216;
49;216;216;
50;216;216;
51;324;324;
52;225;225;
53;150;150;
54;30;30;
55;150;150;
56;30;30;
57;150;150;
58;180;180;
59;270;270;
60;30;30;
61;150;150;
62;45;45;
63;225;225;
64;216;216;
65;216;216;
66;225;225;
67;150;150;
68;180;180;
69;180;180;
70;150;150;
71;150;150;
72;180;180;
73;270;270;
74;216;216;
75;324;324;
76;180;180;
77;180;180;
78;216;216;
79;216;216;
80;180;180;
81;270;270;
82;180;180;
83;180;180;
84;30;30;
85;150;150;
86;30;30;
87;150;150;
88;180;180;
89;90;90;
90;180;180;
91;216;216;
92;216;216;
93;36;36;
94;180;180;
95;36;36;
96;180;180;
97;36;36;
98;180;180;
99;54;54;
100;270;270;
101;216;216;
102;324;324;
103;36;36;
104;180;180;
105;36;36;
106;180;180;
107;270;270;
108;180;180;
109;180;180;
110;180;180;
111;30;30;
112;150;150;
113;30;30;
114;150;150;
115;216;216;
116;324;324;
117;180;180;
118;270;270;
119;54;54;
120;270;270;
121;36;36;
122;180;180;
123;180;180;
124;90;90;
125;180;180;
126;150;150;
127;150;150;
128;180;180;
129;180;180;
130;180;180;
131;270;270;
132;180;180;
133;180;180;
134;324;324;
135;216;216;
136;270;270;
137;180;180;
138;270;270;
139;180;180;
140;180;180;
141;180;180;
142;180;180;
143;180;180;
144;150;150;
145;150;150;
146;225;225;
147;150;150;
148;216;216;
149;216;216;
150;180;180;
151;180;180;
152;270;270;
153;180;180;
154;180;180;
155;270;270;
156;324;324;
157;216;216;
158;75;75;
159;90;84;
160;75;75;
161;75;75;
162;108;96;
163;90;84;
164;90;87;
165;90;90;
166;75;75;
167;15;15;
168;75;75;
169;90;90;
170;15;15;
171;75;75;
172;108;100;
173;18;18;
174;90;90;
175;90;84;
176;15;15;
177;75;75;
178;18;18;
179;90;90;
180;15;15;
181;75;75;
182;108;100;
183;108;100;
184;75;75;
185;15;15;
186;75;75;
187;90;90;
188;15;15;
189;75;75;
190;108;100;
191;75;75;
192;90;90;
193;75;75;
194;90;84;
195;108;96;
196;90;87;
197;108;104;
198;90;90;
199;90;90;
200;15;15;
201;75;75;
202;90;90;
203;108;95;
204;18;18;
205;90;90;
206;18;18;
207;90;90;
208;108;87;
209;18;18;
210;90;90;
211;90;90;
212;90;90;
213;15;15;
214;75;75;
215;108;108;
216;90;90;
217;18;18;
218;90;90;
219;90;90;
220;75;75;
221;90;88;
222;90;87;
223;90;90;
224;108;108;
225;90;90;
226;90;90;
227;90;90;
228;90;90;
229;75;75;
230;75;75;
231;108;108;
232;90;89;
233;90;90;
234;90;87;
235;108;99;
236;45;45;
237;30;30;
238;15;15;
239;30;30;
240;30;30;
241;15;15;
242;36;36;
243;54;48;
244;18;18;
245;45;42;
246;30;30;
247;15;15;
248;30;30;
249;30;30;
250;15;15;
251;30;30;
252;45;45;
253;15;15;
254;18;18;
255;27;27;
256;9;9;
257;12;12;
258;18;18;
259;6;6;
260;6;6;
261;9;9;
262;3;3;
263;45;45;
264;30;30;
265;15;15;
266;6;6;
267;9;9;
268;3;3;
269;30;30;
270;45;45;
271;15;15;
272;108;100;
273;30;30;
274;30;30;
275;15;15;
276;30;30;
277;45;45;
278;15;15;
279;18;18;
280;12;12;
281;6;6;
282;18;18;
283;12;12;
284;6;6;
285;9;9;
286;6;6;
287;3;3;
288;12;12;
289;12;12;
290;6;6;
291;12;12;
292;12;12;
293;6;6;
294;6;6;
295;6;6;
296;3;3;
297;36;36;
298;54;48;
299;18;18;
300;36;36;
301;36;36;
302;18;18;
303;36;36;
304;36;36;
305;18;18;
306;6;6;
307;6;6;
308;3;3;
309;12;12;
310;12;12;
311;6;6;
312;12;12;
313;12;12;
314;6;6;
315;6;6;
316;6;6;
317;3;3;
318;36;36;
319;36;36;
320;18;18;
321;36;36;
322;54;54;
323;18;18;
324;18;18;
325;12;12;
326;6;6;
327;18;18;
328;12;12;
329;6;6;
330;9;9;
331;6;6;
332;3;3;
333;30;30;
334;30;30;
335;15;15;
336;36;36;
337;54;54;
338;18;18;
339;18;18;
340;36;36;
341;36;36;
342;18;18;
343;30;30;
344;30;30;
345;15;15;
346;30;30;
347;45;45;
348;15;15;
349;54;54;
350;36;36;
351;18;18;
352;36;36;
353;36;36;
354;18;18;
355;30;30;
356;30;30;
357;15;15;
358;18;18;
359;18;18;
360;9;9;
361;12;12;
362;12;12;
363;6;6;
364;6;6;
365;6;6;
366;3;3;
367;18;18;
368;12;12;
369;6;6;
370;18;18;
371;12;12;
372;6;6;
373;9;9;
374;6;6;
375;3;3;
376;36;36;
377;54;53;
378;18;18;
379;30;30;
380;30;30;
381;15;15;
382;45;39;
383;30;30;
384;15;15;
385;15;15;
386;18;18;
387;12;12;
388;6;6;
389;27;26;
390;18;18;
391;9;9;
392;9;9;
393;6;6;
394;3;3;
395;12;12;
396;12;12;
397;6;6;
398;18;18;
399;18;18;
400;9;9;
401;6;6;
402;6;6;
403;3;3;
404;18;18;
405;6;6;
406;6;6;
407;3;3;
408;45;40;
409;30;30;
410;15;15;
411;30;30;
412;30;30;
413;15;15;
414;15;15;
415;9;9;
416;6;6;
417;3;3;
418;54;52;
419;36;36;
420;18;18;
421;45;45;
422;30;30;
423;15;15;
424;18;18;
425;36;36;
426;54;54;
427;18;18;
428;12;12;
429;12;12;
430;6;6;
431;18;18;
432;18;18;
433;9;9;
434;6;6;
435;6;6;
436;3;3;
437;18;18;
438;6;6;
439;6;6;
440;3;3;
441;45;40;
442;30;30;
443;15;15;
444;30;30;
445;30;30;
446;15;15;
447;15;15;
448;36;36;
449;36;36;
450;18;18;
451;30;30;
452;30;30;
453;15;15;
454;15;15;
455;12;12;
456;12;12;
457;6;6;
458;18;18;
459;18;18;
460;9;9;
461;6;6;
462;6;6;
463;3;3;
464;36;36;
465;54;53;
466;18;18;
467;18;18;
468;30;30;
469;45;45;
470;15;15;
471;30;30;
472;30;30;
473;15;15;
474;15;15;
475;18;18;
476;108;97;
477;90;90;
478;18;18;
479;6;6;
480;6;6;
481;3;3;
482;30;30;
483;30;30;
484;15;15;
485;90;90;
486;15;15;
487;18;18;
488;12;12;
489;6;6;
490;27;27;
491;18;18;
492;9;9;
493;9;9;
494;6;6;
495;3;3;
496;30;30;
497;45;45;
498;15;15;
499;18;18;
500;30;30;
501;30;30;
502;15;15;
503;90;87;
504;15;15;
505;54;50;
506;36;36;
507;18;18;
508;90;90;
509;18;18;
510;36;36;
511;36;36;
512;18;18;
513;75;75;
514;15;15;
515;90;87;
516;54;51;
517;36;36;
518;18;18;
519;18;18;
520;54;52;
521;36;36;
522;18;18;
523;45;45;
524;30;30;
525;15;15;
526;18;18;
527;45;39;
528;30;30;
529;15;15;
530;30;30;
531;30;30;
532;15;15;
533;15;15;
534;18;18;
535;15;15;
536;3;3;
537;15;15;
538;6;6;
539;9;9;
540;3;3;
541;3;3;
542;45;39;
543;30;30;
544;15;15;
545;75;75;
546;15;15;
547;36;36;
548;54;46;
549;18;18;
550;30;30;
551;45;45;
552;15;15;
553;18;18;
554;36;36;
555;15;15;
556;6;6;
557;9;9;
558;3;3;
559;3;3;
560;75;75;
561;30;30;
562;45;45;
563;15;15;
564;15;15;
565;18;18;
566;12;12;
567;6;6;
568;18;18;
569;12;12;
570;6;6;
571;9;9;
572;6;6;
573;3;3;
574;12;12;
575;18;18;
576;6;6;
577;18;18;
578;27;25;
579;9;9;
580;6;6;
581;9;9;
582;3;3;
583;18;18;
584;15;15;
585;18;18;
586;3;3;
587;36;36;
588;54;52;
589;18;18;
590;45;39;
591;30;30;
592;15;15;
593;18;18;
594;36;36;
595;36;36;
596;18;18;
597;30;30;
598;30;30;
599;15;15;
600;15;15;
601;36;36;
602;6;6;
603;6;6;
604;3;3;
605;6;6;
606;9;9;
607;3;3;
608;3;3;
609;36;36;
610;36;36;
611;18;18;
612;36;36;
613;54;54;
614;18;18;
615;18;18;
616;30;30;
617;30;30;
618;15;15;
619;12;12;
620;18;18;
621;6;6;
622;12;12;
623;18;18;
624;6;6;
625;6;6;
626;9;9;
627;3;3;
628;15;15;
629;15;15;
630;18;18;
631;3;3;
632;9;9;
633;6;6;
634;3;3;
635;6;6;
636;6;6;
637;3;3;
638;3;3;
639;54;54;
640;36;36;
641;18;18;
642;45;45;
643;30;30;
644;15;15;
645;18;18;
646;36;36;
647;36;36;
648;18;18;
649;12;12;
650;12;12;
651;6;6;
652;12;12;
653;12;12;
654;6;6;
655;6;6;
656;6;6;
657;3;3;
658;15;15;
659;18;18;
660;15;15;
661;3;3;
662;30;30;
663;30;30;
664;15;15;
665;18;18;
666;12;12;
667;6;6;
668;18;18;
669;12;12;
670;6;6;
671;9;9;
672;6;6;
673;3;3;
674;15;15;
675;18;18;
676;12;12;
677;6;6;
678;27;26;
679;18;18;
680;9;9;
681;9;9;
682;6;6;
683;3;3;
684;18;18;
685;12;12;
686;6;6;
687;18;18;
688;12;12;
689;6;6;
690;9;9;
691;6;6;
692;3;3;
693;18;18;
694;36;36;
695;36;36;
696;36;36;
697;18;18;
698;30;30;
699;30;30;
700;15;15;
701;15;15;
702;45;45;
703;30;30;
704;15;15;
705;54;54;
706;36;36;
707;18;18;
708;18;18;
709;36;36;
710;30;30;
711;30;30;
712;15;15;
713;45;39;
714;30;30;
715;15;15;
716;15;15;
717;45;45;
718;30;30;
719;15;15;
720;54;52;
721;36;36;
722;18;18;
723;18;18;
724;36;36;
725;12;12;
726;12;12;
727;6;6;
728;18;18;
729;18;18;
730;9;9;
731;6;6;
732;6;6;
733;3;3;
734;108;100;
735;18;18;
736;45;39;
737;30;30;
738;15;15;
739;30;30;
740;30;30;
741;15;15;
742;15;15;
743;18;18;
744;15;15;
745;3;3;
746;15;15;
747;18;18;
748;3;3;
749;90;90;
750;75;75;
751;15;15;
752;36;36;
753;54;54;
754;18;18;
755;36;36;
756;36;36;
757;18;18;
758;18;18;
759;18;18;
760;15;15;
761;3;3;
762;75;75;
763;90;88;
764;15;15;
765;90;90;
766;54;50;
767;36;36;
768;18;18;
769;18;18;
770;15;15;
771;18;18;
772;3;3;
773;15;15;
774;6;6;
775;9;9;
776;3;3;
777;3;3;
778;45;39;
779;30;30;
780;15;15;
781;30;30;
782;30;30;
783;15;15;
784;15;15;
785;36;36;
786;54;48;
787;18;18;
788;90;87;
789;18;18;
790;36;36;
791;45;39;
792;30;30;
793;15;15;
794;75;75;
795;15;15;
796;36;36;
797;54;46;
798;18;18;
799;30;30;
800;45;45;
801;15;15;
802;18;18;
803;36;36;
804;36;36;
805;36;36;
806;36;36;
807;18;18;
808;30;30;
809;30;30;
810;15;15;
811;15;15;
812;108;108;
813;45;45;
814;30;30;
815;15;15;
816;18;18;
817;36;36;
818;90;90;
819;30;30;
820;30;30;
821;15;15;
822;15;15;
823;54;54;
824;36;36;
825;18;18;
826;36;36;
827;36;36;
828;18;18;
829;18;18;
830;18;18;
831;15;15;
832;3;3;
833;36;36;
834;18;18;
835;18;18;
836;9;9;
837;12;12;
838;12;12;
839;6;6;
840;6;6;
841;6;6;
842;3;3;
843;12;12;
844;12;12;
845;6;6;
846;12;12;
847;12;12;
848;6;6;
849;6;6;
850;6;6;
851;3;3;
852;15;15;
853;36;36;
854;36;36;
855;18;18;
856;18;18;
857;27;26;
858;9;9;
859;12;12;
860;18;18;
861;6;6;
862;6;6;
863;9;9;
864;3;3;
865;18;18;
866;15;15;
867;18;18;
868;3;3;
869;36;36;
870;12;12;
871;12;12;
872;6;6;
873;12;12;
874;12;12;
875;6;6;
876;6;6;
877;6;6;
878;3;3;
879;45;45;
880;30;30;
881;15;15;
882;15;15;
883;36;36;
884;36;36;
885;18;18;
886;36;36;
887;54;53;
888;18;18;
889;18;18;
890;36;36;
891;36;36;
892;36;36;
893;3;3;
894;30;30;
895;30;30;
896;15;15;
897;30;30;
898;45;45;
899;15;15;
900;6;6;
901;6;6;
902;3;3;
903;18;18;
904;18;18;
905;9;9;
906;12;12;
907;12;12;
908;6;6;
909;6;6;
910;6;6;
911;3;3;
912;18;18;
913;12;12;
914;6;6;
915;27;27;
916;18;18;
917;9;9;
918;9;9;
919;6;6;
920;3;3;
921;9;9;
922;6;6;
923;3;3;
924;6;6;
925;6;6;
926;3;3;
927;6;6;
928;9;9;
929;3;3;
930;3;3;
931;12;12;
932;12;12;
933;6;6;
934;18;18;
935;18;18;
936;9;9;
937;6;6;
938;6;6;
939;3;3;
940;36;36;
941;54;54;
942;18;18;
943;6;6;
944;9;9;
945;3;3;
946;30;30;
947;30;30;
948;15;15;
949;30;30;
950;45;45;
951;15;15;
952;6;6;
953;6;6;
954;3;3;
955;6;6;
956;6;6;
957;3;3;
958;6;6;
959;9;9;
960;3;3;
961;3;3;
962;15;15;
963;6;6;
964;9;9;
965;3;3;
966;3;3;
967;75;75;
968;84;84;
969;75;75;
970;75;75;
971;96;96;
972;84;84;
973;87;87;
974;90;90;
975;75;75;
976;15;15;
977;75;75;
978;90;90;
979;15;15;
980;75;75;
981;100;100;
982;18;18;
983;90;90;
984;84;84;
985;15;15;
986;75;75;
987;18;18;
988;90;90;
989;15;15;
990;75;75;
991;100;100;
992;100;100;
993;75;75;
994;15;15;
995;75;75;
996;90;90;
997;15;15;
998;75;75;
999;100;100;
1000;75;75;
1001;90;90;
1002;75;75;
1003;84;84;
1004;96;96;
1005;87;87;
1006;104;104;
1007;90;90;
1008;90;90;
1009;15;15;
1010;75;75;
1011;90;90;
1012;95;95;
1013;18;18;
1014;90;90;
1015;18;18;
1016;90;90;
1017;87;87;
1018;18;18;
1019;90;90;
1020;90;90;
1021;90;90;
1022;15;15;
1023;75;75;
1024;108;108;
1025;90;90;
1026;18;18;
1027;90;90;
1028;90;90;
1029;75;75;
1030;88;88;
1031;87;87;
1032;90;90;
1033;108;108;
1034;90;90;
1035;90;90;
1036;90;90;
1037;90;90;
1038;75;75;
1039;75;75;
1040;108;108;
1041;89;89;
1042;90;90;
1043;87;87;
1044;99;99;
1045;90;90;
1046;75;75;
1047;102;93;
1048;87;87;
1049;75;75;
1050;90;90;
1051;108;87;
1052;90;90;
1053;18;18;
1054;90;90;
1055;100;96;
1056;75;75;
1057;90;90;
1058;90;84;
1059;75;75;
1060;102;84;
1061;90;87;
1062;90;90;
1063;15;15;
1064;75;75;
1065;90;90;
1066;108;96;
1067;90;90;
1068;75;75;
1069;108;96;
1070;18;18;
1071;90;90;
1072;75;75;
1073;90;90;
1074;108;87;
1075;90;90;
1076;75;75;
1077;90;90;
1078;90;87;
1079;107;84;
1080;75;75;
1081;84;84;
1082;15;15;
1083;107;96;
1084;90;87;
1085;18;18;
1086;15;15;
1087;85;84;
1088;75;75;
1089;15;15;
1090;18;18;
1091;106;91;
1092;90;90;
1093;18;18;
1094;108;96;
1095;90;90;
1096;18;18;
1097;15;15;
1098;85;84;
1099;75;75;
1100;15;15;
1101;90;90;
1102;75;75;
1103;15;15;
1104;90;88;
1105;107;90;
1106;18;18;
1107;90;90;
1108;75;75;
1109;15;15;
1110;18;18;
1111;97;93;
1112;90;90;
1113;18;18;
1114;15;15;
1115;75;75;
1116;90;90;
1117;15;15;
1118;108;96;
1119;90;90;
1120;18;18;
1121;75;75;
1122;87;87;
1123;15;15;
1124;104;93;
1125;90;90;
1126;18;18;
1127;90;90;
1128;75;75;
1129;15;15;
1130;87;87;
1131;105;93;
1132;18;18;
1133;106;93;
1134;90;90;
1135;18;18;
1136;84;84;
1137;75;75;
1138;15;15;
1139;18;18;
1140;15;15;
1141;3;3;
1142;15;15;
1143;18;18;
1144;3;3;
1145;84;84;
1146;75;75;
1147;15;15;
1148;100;90;
1149;90;90;
1150;18;18;
1151;36;36;
1152;15;15;
1153;18;18;
1154;3;3;
1155;75;75;
1156;90;90;
1157;15;15;
1158;90;84;
1159;106;93;
1160;18;18;
1161;15;15;
1162;18;18;
1163;3;3;
1164;106;93;
1165;84;84;
1166;18;18;
1167;90;90;
1168;75;75;
1169;15;15;
1170;36;36;
1171;15;15;
1172;18;18;
1173;3;3;
1174;90;90;
1175;108;96;
1176;18;18;
1177;75;75;
1178;90;90;
1179;15;15;
1180;15;15;
1181;18;18;
1182;3;3;
1183;18;18;
1184;15;15;
1185;3;3;
1186;108;96;
1187;90;90;
1188;18;18;
1189;90;90;
1190;75;75;
1191;15;15;
1192;18;18;
1193;15;15;
1194;3;3;
1195;75;75;
1196;90;87;
1197;15;15;
1198;107;93;
1199;90;90;
1200;18;18;
1201;36;36;
1202;90;90;
1203;75;75;
1204;15;15;
1205;90;90;
1206;108;90;
1207;18;18;
1208;36;36;
1209;75;75;
1210;84;84;
1211;15;15;
1212;90;90;
1213;106;99;
1214;18;18;
1215;36;36;
1216;90;90;
1217;100;100;
1218;18;18;
1219;84;84;
1220;75;75;
1221;15;15;
1222;18;18;
1223;15;15;
1224;3;3;
1225;15;15;
1226;18;18;
1227;3;3;
1228;90;90;
1229;75;75;
1230;15;15;
1231;108;100;
1232;90;90;
1233;18;18;
1234;18;18;
1235;15;15;
1236;3;3;
1237;75;75;
1238;88;87;
1239;15;15;
1240;90;90;
1241;104;100;
1242;18;18;
1243;15;15;
1244;18;18;
1245;3;3;
1246;15;15;
1247;18;18;
1248;3;3;
1249;84;84;
1250;75;75;
1251;15;15;
1252;102;95;
1253;87;87;
1254;18;18;
1255;36;36;
1256;84;84;
1257;75;75;
1258;15;15;
1259;100;94;
1260;90;90;
1261;18;18;
1262;36;36;
1263;36;36;
1264;90;90;
1265;75;75;
1266;15;15;
1267;108;98;
1268;90;90;
1269;18;18;
1270;36;36;
1271;90;90;
1272;75;75;
1273;15;15;
1274;108;100;
1275;90;90;
1276;18;18;
1277;18;18;
1278;15;15;
1279;3;3;
1280;36;36;
1281;90;90;
1282;75;75;
1283;15;15;
1284;90;87;
1285;107;100;
1286;18;18;
1287;15;15;
1288;18;18;
1289;3;3;
1290;36;36;
1291;75;75;
1292;90;90;
