id;lvl;mergeLvl;name
0;0;0;not_fault_0
1;0;0;not_fault_1
2;0;0;not_fault_2
3;0;0;not_fault_3
4;0;0;not_fault_4
5;0;0;not_fault_5
6;0;0;not_fault_6
7;1;0;not_fault_7
8;1;0;not_fault_8
9;1;0;not_fault_9
10;2;0;not_fault_10
11;2;0;not_fault_11
12;2;0;not_fault_12
13;2;0;not_fault_13
14;2;0;not_fault_14
15;2;0;not_fault_15
16;2;0;fault_16
17;2;0;fault_17
18;2;0;fault_18
19;1;1;not_fault_19
20;1;1;not_fault_20
21;1;1;not_fault_21
22;2;1;not_fault_22
23;2;1;fault_23
24;2;2;not_fault_24
25;2;2;fault_25
