id;lvl;mergeLvl;name
0;0;0;not_fault_0
1;0;0;not_fault_1
2;0;0;not_fault_2
3;0;0;not_fault_3
4;0;0;not_fault_4
5;0;0;not_fault_5
6;0;0;not_fault_6
7;0;0;not_fault_7
8;0;0;not_fault_8
9;0;0;not_fault_9
10;0;0;not_fault_10
11;0;0;not_fault_11
12;0;0;not_fault_12
13;0;0;not_fault_13
14;0;0;not_fault_14
15;0;0;not_fault_15
16;0;0;not_fault_16
17;0;0;not_fault_17
18;0;0;not_fault_18
19;0;0;not_fault_19
20;0;0;not_fault_20
21;0;0;not_fault_21
22;0;0;not_fault_22
23;0;0;not_fault_23
24;0;0;not_fault_24
25;0;0;not_fault_25
26;0;0;not_fault_26
27;0;0;not_fault_27
28;0;0;not_fault_28
29;0;0;not_fault_29
30;0;0;not_fault_30
31;0;0;not_fault_31
32;0;0;not_fault_32
33;0;0;not_fault_33
34;0;0;not_fault_34
35;0;0;not_fault_35
36;0;0;not_fault_36
37;0;0;not_fault_37
38;0;0;not_fault_38
39;0;0;not_fault_39
40;0;0;not_fault_40
41;0;0;not_fault_41
42;1;0;not_fault_42
43;1;0;not_fault_43
44;1;0;not_fault_44
45;1;0;not_fault_45
46;1;0;not_fault_46
47;1;0;not_fault_47
48;1;0;not_fault_48
49;1;0;not_fault_49
50;1;0;not_fault_50
51;1;0;not_fault_51
52;1;0;not_fault_52
53;1;0;not_fault_53
54;1;0;not_fault_54
55;1;0;not_fault_55
56;1;0;not_fault_56
57;1;0;not_fault_57
58;1;0;not_fault_58
59;1;0;not_fault_59
60;2;0;not_fault_60
61;2;0;not_fault_61
62;2;0;not_fault_62
63;2;0;not_fault_63
64;2;0;not_fault_64
65;2;0;not_fault_65
66;2;0;not_fault_66
67;2;0;not_fault_67
68;2;0;not_fault_68
69;2;0;not_fault_69
70;2;0;not_fault_70
71;2;0;not_fault_71
72;2;0;not_fault_72
73;2;0;not_fault_73
74;2;0;not_fault_74
75;2;0;not_fault_75
76;2;0;not_fault_76
77;2;0;not_fault_77
78;2;0;not_fault_78
79;2;0;not_fault_79
80;2;0;not_fault_80
81;2;0;not_fault_81
82;2;0;not_fault_82
83;2;0;not_fault_83
84;2;0;not_fault_84
85;2;0;not_fault_85
86;2;0;not_fault_86
87;2;0;not_fault_87
88;2;0;not_fault_88
89;2;0;not_fault_89
90;2;0;not_fault_90
91;2;0;not_fault_91
92;2;0;not_fault_92
93;2;0;not_fault_93
94;2;0;not_fault_94
95;2;0;not_fault_95
96;2;0;not_fault_96
97;2;0;not_fault_97
98;2;0;not_fault_98
99;2;0;not_fault_99
100;2;0;not_fault_100
101;2;0;not_fault_101
102;2;0;not_fault_102
103;2;0;not_fault_103
104;3;0;not_fault_104
105;3;0;not_fault_105
106;3;0;not_fault_106
107;3;0;not_fault_107
108;3;0;not_fault_108
109;3;0;not_fault_109
110;3;0;not_fault_110
111;3;0;not_fault_111
112;3;0;not_fault_112
113;3;0;not_fault_113
114;3;0;not_fault_114
115;3;0;not_fault_115
116;3;0;not_fault_116
117;3;0;not_fault_117
118;3;0;not_fault_118
119;3;0;not_fault_119
120;3;0;not_fault_120
121;3;0;not_fault_121
122;3;0;not_fault_122
123;3;0;not_fault_123
124;3;0;not_fault_124
125;3;0;not_fault_125
126;3;0;not_fault_126
127;3;0;not_fault_127
128;3;0;not_fault_128
129;3;0;not_fault_129
130;3;0;not_fault_130
131;3;0;not_fault_131
132;3;0;not_fault_132
133;3;0;not_fault_133
134;3;0;not_fault_134
135;4;0;not_fault_135
136;4;0;not_fault_136
137;4;0;not_fault_137
138;4;0;not_fault_138
139;4;0;not_fault_139
140;4;0;not_fault_140
141;4;0;not_fault_141
142;4;0;not_fault_142
143;4;0;not_fault_143
144;4;0;not_fault_144
145;4;0;not_fault_145
146;4;0;not_fault_146
147;4;0;not_fault_147
148;4;0;not_fault_148
149;4;0;not_fault_149
150;4;0;not_fault_150
151;4;0;not_fault_151
152;4;0;not_fault_152
153;4;0;not_fault_153
154;4;0;not_fault_154
155;4;0;not_fault_155
156;4;0;not_fault_156
157;4;0;not_fault_157
158;4;0;not_fault_158
159;4;0;not_fault_159
160;4;0;not_fault_160
161;4;0;not_fault_161
162;4;0;not_fault_162
163;4;0;not_fault_163
164;5;0;not_fault_164
165;5;0;not_fault_165
166;5;0;not_fault_166
167;5;0;not_fault_167
168;5;0;not_fault_168
169;5;0;not_fault_169
170;5;0;not_fault_170
171;5;0;not_fault_171
172;5;0;not_fault_172
173;5;0;not_fault_173
174;5;0;not_fault_174
175;5;0;not_fault_175
176;5;0;not_fault_176
177;5;0;not_fault_177
178;5;0;not_fault_178
179;5;0;not_fault_179
180;5;0;not_fault_180
181;5;0;not_fault_181
182;5;0;not_fault_182
183;5;0;not_fault_183
184;5;0;fault_184
185;5;0;fault_185
186;5;0;fault_186
187;5;0;fault_187
188;5;0;fault_188
189;5;0;fault_189
190;5;0;fault_190
191;5;0;fault_191
192;5;0;fault_192
193;5;0;fault_193
194;5;0;fault_194
195;5;0;fault_195
196;5;0;fault_196
197;5;0;fault_197
198;5;0;fault_198
199;1;1;not_fault_199
200;1;1;not_fault_200
201;1;1;not_fault_201
202;1;1;not_fault_202
203;1;1;not_fault_203
204;1;1;not_fault_204
205;1;1;not_fault_205
206;1;1;not_fault_206
207;1;1;not_fault_207
208;1;1;not_fault_208
209;1;1;not_fault_209
210;1;1;not_fault_210
211;1;1;not_fault_211
212;1;1;not_fault_212
213;1;1;not_fault_213
214;1;1;not_fault_214
215;1;1;not_fault_215
216;1;1;not_fault_216
217;2;1;not_fault_217
218;2;1;not_fault_218
219;2;1;not_fault_219
220;2;1;not_fault_220
221;2;1;not_fault_221
222;2;1;not_fault_222
223;2;1;not_fault_223
224;2;1;not_fault_224
225;2;1;not_fault_225
226;2;1;not_fault_226
227;2;1;not_fault_227
228;2;1;not_fault_228
229;3;1;not_fault_229
230;3;1;not_fault_230
231;3;1;not_fault_231
232;3;1;not_fault_232
233;3;1;not_fault_233
234;3;1;not_fault_234
235;3;1;not_fault_235
236;3;1;not_fault_236
237;3;1;not_fault_237
238;3;1;not_fault_238
239;3;1;not_fault_239
240;3;1;not_fault_240
241;3;1;not_fault_241
242;3;1;not_fault_242
243;3;1;not_fault_243
244;4;1;not_fault_244
245;4;1;not_fault_245
246;4;1;not_fault_246
247;4;1;not_fault_247
248;4;1;not_fault_248
249;4;1;not_fault_249
250;4;1;not_fault_250
251;4;1;not_fault_251
252;4;1;not_fault_252
253;4;1;not_fault_253
254;4;1;not_fault_254
255;4;1;not_fault_255
256;4;1;not_fault_256
257;5;1;not_fault_257
258;5;1;not_fault_258
259;5;1;not_fault_259
260;5;1;not_fault_260
261;5;1;not_fault_261
262;5;1;not_fault_262
263;5;1;not_fault_263
264;5;1;not_fault_264
265;5;1;not_fault_265
266;5;1;not_fault_266
267;5;1;not_fault_267
268;5;1;not_fault_268
269;5;1;not_fault_269
270;5;1;not_fault_270
271;5;1;not_fault_271
272;5;1;not_fault_272
273;5;1;fault_273
274;5;1;fault_274
275;5;1;fault_275
276;5;1;fault_276
277;5;1;fault_277
278;5;1;fault_278
279;5;1;fault_279
280;5;1;fault_280
281;5;1;fault_281
282;5;1;fault_282
283;5;1;fault_283
284;5;1;fault_284
285;5;1;fault_285
286;5;1;fault_286
287;5;1;fault_287
288;2;2;not_fault_288
289;2;2;not_fault_289
290;2;2;not_fault_290
291;2;2;not_fault_291
292;2;2;not_fault_292
293;2;2;not_fault_293
294;2;2;not_fault_294
295;2;2;not_fault_295
296;2;2;not_fault_296
297;2;2;not_fault_297
298;2;2;not_fault_298
299;2;2;not_fault_299
300;3;2;not_fault_300
301;3;2;not_fault_301
302;3;2;not_fault_302
303;3;2;not_fault_303
304;3;2;not_fault_304
305;4;2;not_fault_305
306;4;2;not_fault_306
307;4;2;not_fault_307
308;4;2;not_fault_308
309;4;2;not_fault_309
310;4;2;not_fault_310
311;4;2;not_fault_311
312;5;2;not_fault_312
313;5;2;not_fault_313
314;5;2;not_fault_314
315;5;2;not_fault_315
316;5;2;not_fault_316
317;5;2;not_fault_317
318;5;2;fault_318
319;5;2;fault_319
320;5;2;fault_320
321;3;3;not_fault_321
322;3;3;not_fault_322
323;3;3;not_fault_323
324;3;3;not_fault_324
325;3;3;not_fault_325
326;4;3;not_fault_326
327;4;3;not_fault_327
328;4;3;not_fault_328
329;5;3;not_fault_329
330;5;3;not_fault_330
331;5;3;not_fault_331
332;5;3;not_fault_332
333;5;3;not_fault_333
334;5;3;not_fault_334
335;5;3;fault_335
336;5;3;fault_336
337;5;3;fault_337
338;4;4;not_fault_338
339;4;4;not_fault_339
340;4;4;not_fault_340
341;5;4;not_fault_341
342;5;4;fault_342
343;5;5;not_fault_343
344;5;5;fault_344
